               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.051063,            0.028496,                   0,             0.77415,              0.6562,             0.71079,             0.28729,            0.044746,            0.031593,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.049546,            0.027756,                   0,             0.88557,             0.65238,             0.77223,             0.33154,            0.042454,            0.029254,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.049878,            0.026969,                   0,             0.57485,             0.25925,             0.27415,             0.11064,            0.069562,            0.044828,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.049093,            0.027577,                   0,             0.84166,             0.66446,             0.76173,              0.3147,            0.043528,             0.02982,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.047717,            0.027197,                   0,             0.74358,             0.55702,             0.63061,             0.25727,            0.047043,             0.03715,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.046776,            0.026561,                   0,             0.85328,              0.7438,             0.81803,             0.36953,            0.040555,            0.028115,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.045625,            0.025931,                   0,             0.88918,             0.70287,             0.79987,               0.359,            0.040944,            0.028941,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.046429,            0.026046,                   0,             0.83816,             0.61636,             0.71049,             0.30236,            0.045979,            0.031591,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.044537,            0.025764,                   0,             0.86976,             0.77355,             0.84949,             0.39232,            0.038811,            0.026827,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.044524,            0.025789,                   0,             0.76836,             0.54545,             0.62912,              0.2579,            0.050308,            0.034092,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.044183,            0.025262,                   0,             0.88078,             0.78347,             0.85433,              0.3948,            0.038429,            0.026774,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.043109,            0.024199,                   0,             0.90195,             0.79835,             0.87459,             0.40768,            0.037373,             0.02615,                   0,            0.000496,            0.000496,            0.000496
