               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10597,            0.048377,                   0,          5.5556e-05,           0.0049587,          2.8261e-05,          4.7511e-06,             0.09086,            0.053686,                   0,            0.070167,           0.0033148,           0.0033148
                   1,             0.10136,            0.048811,                   0,          0.00018519,            0.016529,          9.7318e-05,          1.6556e-05,            0.090119,            0.052826,                   0,            0.040035,           0.0065165,           0.0065165
                   2,             0.10083,            0.047463,                   0,          0.00035185,            0.031405,          0.00022785,          4.9505e-05,            0.089607,            0.052109,                   0,           0.0097714,           0.0095862,           0.0095862
                   3,             0.10122,            0.045269,                   0,              0.0045,             0.40165,           0.0034336,          0.00082123,            0.089978,            0.051265,                   0,            0.009406,            0.009406,            0.009406
                   4,             0.10028,            0.042412,                   0,           0.0041481,             0.37025,           0.0040844,          0.00089349,            0.090828,            0.048447,                   0,            0.009406,            0.009406,            0.009406
                   5,             0.09841,            0.041306,                   0,              0.0045,             0.40165,           0.0042473,          0.00097136,            0.089414,            0.048873,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.099505,            0.041802,                   0,            0.004963,             0.44298,           0.0052062,           0.0013379,            0.088985,            0.048247,                   0,             0.00901,             0.00901,             0.00901
                   7,             0.09894,            0.042102,                   0,           0.0052963,             0.47273,           0.0054872,           0.0013236,            0.088427,            0.047386,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.098472,            0.042019,                   0,           0.0047778,             0.42645,           0.0071774,             0.00174,            0.087042,             0.04954,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.097475,            0.041375,                   0,           0.0058704,             0.52397,            0.014633,           0.0036753,            0.085226,            0.048088,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.095228,             0.04125,                   0,            0.010966,             0.41157,            0.022218,           0.0054172,            0.084596,            0.051768,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.092577,            0.040422,                   0,           0.0057778,              0.5157,            0.028597,           0.0076296,            0.083171,            0.050438,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.092417,            0.041846,                   0,            0.012796,              0.4281,            0.026637,           0.0066714,            0.081635,            0.047432,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.091783,              0.0412,                   0,            0.061753,            0.079339,            0.021449,           0.0056571,            0.084275,            0.048096,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.090391,            0.039937,                   0,              0.1074,             0.13058,            0.045896,            0.011827,            0.079708,            0.050196,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.088236,            0.041559,                   0,             0.12572,             0.11901,            0.049182,            0.014584,            0.078121,            0.046886,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.086291,            0.041369,                   0,             0.22548,             0.10744,            0.058014,            0.016218,            0.080025,            0.047104,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.085363,            0.040088,                   0,             0.24359,             0.16694,             0.10409,            0.031105,            0.073253,            0.045389,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.084136,            0.039102,                   0,             0.18945,            0.079339,            0.057078,            0.016295,            0.078678,            0.048543,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.082447,            0.039992,                   0,             0.25122,             0.14545,            0.088445,            0.027264,            0.075938,            0.045801,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.081755,            0.039578,                   0,             0.30365,             0.16529,             0.14438,            0.043164,            0.071911,             0.04585,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.079808,            0.039415,                   0,             0.32156,             0.13719,             0.11245,            0.031512,            0.075294,            0.044903,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.078361,            0.037207,                   0,             0.28144,             0.13719,              0.1263,            0.034063,            0.070951,            0.046619,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.075405,            0.039219,                   0,             0.26729,             0.12231,            0.097066,            0.030802,             0.08228,            0.045043,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.074745,             0.03803,                   0,             0.35854,             0.21322,             0.19823,            0.071726,            0.067776,            0.044159,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.073769,            0.037624,                   0,             0.30584,             0.18017,             0.15297,            0.051564,            0.071861,            0.048596,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.072166,            0.037981,                   0,             0.41369,             0.20826,              0.2034,            0.076535,            0.069907,            0.044393,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.071248,            0.037368,                   0,             0.49734,             0.26116,             0.27699,            0.089126,            0.064535,            0.041459,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.069142,            0.034791,                   0,             0.40448,             0.18973,             0.20161,            0.071309,            0.070942,            0.042026,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.067654,            0.035498,                   0,             0.58085,             0.38182,             0.42719,             0.15523,            0.055978,            0.038135,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.067799,            0.036078,                   0,             0.38062,             0.20826,             0.18336,            0.070089,            0.073106,            0.046049,                   0,            0.004258,            0.004258,            0.004258
                  31,             0.06531,            0.033797,                   0,             0.62907,             0.37025,             0.42787,             0.15919,            0.057174,            0.037091,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.064103,            0.034247,                   0,             0.58664,             0.48595,             0.50289,             0.18156,            0.054567,            0.035291,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.062737,            0.033399,                   0,             0.22781,            0.031405,            0.027614,            0.010332,             0.10154,            0.048773,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.061316,            0.032463,                   0,             0.62841,             0.28595,             0.34278,             0.12268,            0.065403,            0.040235,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.059963,            0.030861,                   0,             0.70159,             0.42479,             0.50929,             0.18741,            0.054775,            0.036932,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.059801,            0.032904,                   0,             0.74843,             0.54545,             0.63468,             0.25426,            0.049129,            0.033013,                   0,             0.00307,             0.00307,             0.00307
