               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.058761,            0.032471,                   0,               0.629,             0.44793,             0.50172,             0.19717,            0.052655,            0.036293,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.057885,            0.031503,                   0,             0.65827,             0.35868,             0.41597,             0.15561,            0.058776,            0.038486,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.056531,            0.030649,                   0,             0.66769,             0.41653,             0.49054,             0.19152,            0.055591,            0.037423,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.056724,            0.029927,                   0,             0.65129,              0.3124,             0.37876,             0.15188,            0.062642,            0.041105,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.054927,            0.030521,                   0,             0.80937,             0.61054,             0.70384,             0.29055,              0.0457,            0.031797,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.055023,            0.030443,                   0,              0.6209,             0.29917,             0.32726,             0.13342,            0.065407,            0.045445,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.053241,            0.029575,                   0,             0.65674,             0.26116,             0.31179,             0.12884,            0.066711,            0.048282,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.051382,             0.02874,                   0,             0.46671,             0.47591,             0.43119,             0.18324,            0.049946,            0.039288,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.052746,            0.028849,                   0,             0.72562,             0.44793,             0.52974,             0.22026,            0.054286,            0.036202,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.051331,            0.028717,                   0,             0.60683,             0.36694,             0.41727,             0.17536,            0.061299,            0.040619,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.050276,            0.028511,                   0,             0.75166,             0.40524,             0.48933,             0.20852,            0.055667,            0.037183,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.049532,            0.027901,                   0,             0.68943,             0.31405,             0.36677,             0.15722,             0.06389,            0.042204,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.049421,            0.027029,                   0,             0.65421,             0.29256,              0.3374,             0.14053,            0.064159,            0.043878,                   0,            0.000496,            0.000496,            0.000496
